Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Staten Island,Mariner's Harbor-Arlington-Graniteville,SW Maple Parkway & Walloon Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,5023100,,,40.63241896,-74.15653929,121,470,POINT (-74.15653929 40.63241896),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=166,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363858,61,11,SI01,SI014,SI,23
Bronx,University Heights (North)-Fordham,New Beginnings Community Garden,2502 Davidson Ave,New Beginnings Community Garden,Year Round,"Fridays, Saturdays, and Sundays (Start Time: Sat+Sun:2PM, Friday:5pm - End Time:  Sat.+Sun.:5pm, Friday:6pm)","Not accepted: meat, bones, or dairy",@new.beginnings.garden,207,14,2026500,,,40.864176,-73.900932,52,330,POINT (-73.900932 40.864176),,,78,13,BX07,BX071,BX,31
Queens,Astoria (Central),SE 33rd Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4006100,,,40.76355516,-73.92199025,114,291,POINT (-73.92199025 40.76355516),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=4,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363696,36,14,QW01,QW014,QW,59
Brooklyn,Crown Heights (North),SW Schenectady Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3035101,,,40.66977726,-73.93377151,77,91,POINT (-73.93377151 40.66977726),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=128,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363820,43,9,BKN08,BKN083,BKN,20
Bronx,Morrisania,Morrisania,McKinley Square at 169th St & Boston Rd,GrowNYC,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,203,16,2014900,,,40.831187,-73.900567,42,426,POINT (-73.900567 40.831187),,,79,15,BX03,BX031,BX,32
Brooklyn,Windsor Terrace-South Slope,Brooklyn Hope Church,"120 16th Street, Brooklyn, New York 11215",Brooklyn Hope Church,Year Round,Sundays (Start Time: 12 pm - End Time:  2 pm),"Accepts meat, bones, and dairy",Brooklynhope.org,307,39,3014102,,,40.6657639,-73.9918034,72,123,POINT (-73.9918034 40.6657639),,,51,10,BKS07,BKS072,BKS,26
Queens,Old Astoria-Hallets Point,SE 31st Avenue & 14th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4007700,,,40.76808088,-73.93193347,114,310,POINT (-73.93193347 40.76808088),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=65,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363757,36,14,QW01,QW013,QW,59
Bronx,Kingsbridge Heights-Van Cortlandt Village,SW Heath Avenue & West Kingsbridge Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,208,14,2027300,,,40.87283555,-73.90491128,50,338,POINT (-73.90491128 40.87283555),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=234,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363926,78,13,BX08,BX081,BX,31
Manhattan,Chelsea-Hudson Yards,Hudson River Park Pier 66 at W 26 St,Pier 66 at W 26 St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,1009902,,,40.752222,-74.008278,10,59,POINT (-74.008278 40.752222),,,75,12,MN04,MN042,MN,47
Brooklyn,Bushwick (East),NW Irving Avenue & Weirfield Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043900,,,40.6950796,-73.9073417,83,370,POINT (-73.9073417 40.6950796),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=103,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363795,54,7,BKN04,BKN043,BKN,18
Brooklyn,Bedford-Stuyvesant (East),NW Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,3037700,,,40.68381262,-73.92018981,81,151,POINT (-73.92018981 40.68381262),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=47,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363739,55,8,BKN03,BKN035,BKN,25
Manhattan,Financial District-Battery Park City,SmartComposting: Maiden Lane & Pearl Street,Maiden Lane and Pearl Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,1001502,,,40.70688,-74.00684,1,8,POINT (-74.00684 40.70688),,,65,10,MN01,MN011,MN,27
Manhattan,Washington Heights (North),SE Sickles Street & Nagle Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,1028300,,,40.86054009,-73.92733723,34,223,POINT (-73.92733723 40.86054009),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=205,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363897,72,13,MN12,MN123,MN,31
Bronx,Westchester Square,NW Zerega Avenue & Waterbury Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,18,2009600,,,40.83505989,-73.84551175,45,355,POINT (-73.84551175 40.83505989),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=19,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363711,87,14,BX10,BX101,BX,34
Bronx,Highbridge,NE West 166th St & Dr. Martin Luther King Jr Boulevard,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,2019300,,,40.83612098,-73.92934956,44,254,POINT (-73.92934956 40.83612098),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=215,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363907,77,15,BX04,BX042,BX,29
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3028900,,,40.69236338,-73.93096961,81,140,POINT (-73.93096961 40.69236338),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=49,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363741,56,8,BKN03,BKN034,BKN,25
Brooklyn,Bushwick (West),NE Knickerbocker Avenue & Starr Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,3042900,,,40.7027688,-73.92527696,83,402,POINT (-73.92527696 40.7027688),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=93,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363785,53,7,BKN04,BKN041,BKN,18
Queens,Astoria (East)-Woodside (North),SE 31st Avenue & 49th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4016300,,,40.7579291,-73.90980195,114,286,POINT (-73.90980195 40.7579291),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=146,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363838,30,7,QW01,QW015,QW,12
Manhattan,Financial District-Battery Park City,SmartComposting: Bowling Green (South),Bowling Green (inside south entrance),Alliance for Downtown New York,Year Round,"6 am ? 7:30, or when park gates are open","Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,1001300,,,40.70477,-74.01368,1,3,POINT (-74.01368 40.70477),,,61,10,MN01,MN011,MN,27
Bronx,Tremont,La Familia Verde Farmer's Market,Tremont Ave between LaFontaine and Arthur Ave (Tremont Park),Volunteers at La Familia Verde Farmers Market,July- November 16 2021,Tuesdays (Start Time: 8:00 AM - End Time:  2:00 PM),"Visit the Center Farm stand to drop off your food scraps. Not accepted: meat, bones, or dairy",http://www.lafamiliaverde.org/,206,15,2039500,,,40.846468,-73.894107,48,267,POINT (-73.894107 40.846468),,,86,15,BX06,BX062,BX,32
Brooklyn,Bushwick (East),NW Central Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3041300,,,40.6907969,-73.91234536,83,383,POINT (-73.91234536 40.6907969),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=69,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363761,54,7,BKN04,BKN043,BKN,18
Brooklyn,Crown Heights (North),SE Classon Avenue & Eastern Parkway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3021700,,,40.67165371,-73.96107707,77,86,POINT (-73.96107707 40.67165371),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=141,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363833,57,9,BKN08,BKN081,BKN,20
Manhattan,Upper West Side-Lincoln Square,Tucker Square Thursday Greenmarket,66th St and Columbus Ave.,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,107,6,1014900,,,40.773404,-73.981848,20,22,POINT (-73.981848 40.773404),,,67,12,MN07,MN071,MN,47
Queens,Astoria (Central),SE 31st Avenue & 29th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4007500,,,40.76499499,-73.92496582,114,306,POINT (-73.92496582 40.76499499),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=9,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363701,36,14,QW01,QW013,QW,59
Staten Island,Westerleigh-Castleton Corners,NE Victory Blvd & Slosson Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,50,5014700,,,40.61356176,-74.11656775,120,466,POINT (-74.11656775 40.61356176),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=162,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363854,63,11,SI01,SI013,SI,24
Bronx,Throgs Neck-Schuylerville,SW 	Throgs Neck Expressway & Randall Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,2015800,,,40.82775765,-73.81831449,45,350,POINT (-73.81831449 40.82775765),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=15,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363707,82,14,BX10,BX102,BX,34
Queens,Ridgewood,"New Roots Community Garden, Queens",Adjacent to 41-38 69th Street and Woodside Avenue,"New Roots Community Garden, Queens",Year Round,Tuesday + Thursdays from 6 - 7 pm; Sundays from 12 - 1pm (Start Time: See above - End Time:  See above),"Not accepted: meat, bones, or dairy",,405,30,4059300,,,40.7089479,-73.9019195,104,438,POINT (-73.9019195 40.7089479),,,37,7,QW05,QW052,QW,12
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Gowanus Salt Lot,"2 2nd Ave, Brooklyn, NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.bigreuse.org/service/compost/,306,39,3011902,,,40.67541,-73.99128,78,108,POINT (-73.99128 40.67541),,,52,10,BKS06,BKS064,BKS,26
Bronx,Parkchester,SE Purdy Street & East Tremont Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,2021001,,,40.84212899,-73.85504935,43,345,POINT (-73.85504935 40.84212899),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=238,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363930,87,14,BX09,BX093,BX,34
